Number,url,rest_name,number_of_reviews,rating,food_type,coupon,food,service,ambience,value,about_rest,comments,image_url
1,https://www.opentable.com/r/china-live-san-francisco?corrid=740ec375-11e3-4690-9269-e0e3c5408c3c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,China Live,3135 Reviews,4.7,Chinese,$30 and under,4.7,4.6,4.6,4.3,"China Live, Eater's ""Restaurant of the Year,"" features fresh, seasonal Chinese cuisine cooked from specialized stations that merge traditional Chinese and Western culinary equipment. Our main dining area, with views of our exhibition kitchens, plays centerpiece, appointed with chairs and tables all handcrafted in China from reclaimed Chinese elm. We also offer outside dining."," Fantastic food, drinks, and service! Will definitely be back  Great food, however we were recommended to order 2 dishes each. Way too much food.  A surprise gem. Food was outstanding as was the friendly attentive service.  EXCELLENT! The we basically asked them to give us whatever was in the pictures online haha. It’s was delicious!  Great food.  Hit all the public recommendations of garlic noodles and xiao long bao.

Add in steamed sea bass in fish sauce and sliced cucumbers.  This was our favorite ahead of the xiao long bao.

Finished with chicken coconut curry and jasmine rice. Read more I picked China LIve without really knowing much about it.  Was delighted to find out that the chef behind it was the chef that opened Bettlenut in the 90s.  The food was outstanding.  We over ordered because everything sounded so good.  The Hong Kong noodles and the Spicy Tofu were highlights.  The Oolong Milk Tea was a revelation.  We had an early res because we were heading to a show down the street, and I could tell that it would get loud and crowded later in the evening.  The one suggestion I have is to put sliders on the chairs - they make too much noise on the concrete floor. Read more Superbe restaurant ! Très bons plats et de l espace pour les grandes tablées . Super accueil, je recommande !  While the food is ok but not great and the place has overall nice seating, the service was horrible since it took a while to even get the attention of the waiter, then we were told that overall portion sizes are small and encouraged to order more food...which we did and then it turned out we ended up with way too much food !.  The timing of how the food was served appeared off (curry shows up with no rice which came much later) and the noise levels are very high.  Finally the mandatory 20% tip and other charges are just way too high.  We will not return Read more What great food and service! Everything we had was delicious and well-prepared.  Delicious and fun dining experience.
The staff were very attentive and friendly.
I would definitely recommend China Live. ",https://resizer.otstatic.com/v2/photos/xlarge/3/32329728.webp
2,https://www.opentable.com/r/bardo-lounge-and-supper-club-oakland?corrid=740ec375-11e3-4690-9269-e0e3c5408c3c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Bardo Lounge & Supper Club,464 Reviews,4.9,Contemporary American,$31 to $50,4.7,4.8,4.8,4.4,"Recommended in the MICHELIN Guide for California 2021-2023. Located in Oakland’s historic Grand Lake District, Bardo is a neighborhood lounge and restaurant inspired by the comfort and camaraderie of a mid-century dinner party. Drawing on the celebration and elegance of old school entertaining, we envisioned a space for friends and neighbors to enjoy amazing food, cocktails, conversation and great music.

Our lounge is a swank living room, furnished with hand-picked finds from antique and vintage markets from Palm Springs to Portland. Our mezzanine dining room features a rotating menu of fresh, seasonal supper-fare with local and sustainably sourced meats, fish and produce. While we think the food, drinks and atmosphere are all great reasons to visit us, it’s the relationships with our friends, neighbors and guests that is the driving force behind Bardo.","Read more Caeser salad was unique and delicious. Tuna presentation needs work. Service great.  We were disappointed first because of the noise level.  We could not carry a conversation without shouting although we asked to be moved upstairs.  When we left and walked through downstairs, the room was packed and noisy, and 2 people were eating their meal on TV trays! 
My husband sent his Cosmopolitan cocktail back for it was so bitter, it was undrinkable.  The starters are good and affordable. We liked the deviled eggs and the chicken mousse, but not the burnt toasts which came with it.  The entrée menu is very short and the only red meat was a rib eye at $60.00!  Both of our entrees (rib eye and seared tuna) had very spicy accompaniments which we did not expect and were not mentioned on the menu.  We skipped desserts.  The service was not great.  First our server had to kneel down near us in order to hear us and us, him.  He was far too busy and that affected the quality of service.  He handled the whole upstairs room alone. I think he did his best under the circumstances.  We definitely will not come back.  However if you can handle that level of noise (some call it a good ""ambiance""), and spend less by choosing a couple of starters instead of an entree, it might work!? Read more A beautiful restaurant with a very attentive staff. We tried the tasting menu I and were very happy with the sale toons from the chef. We did miss a few of their signature dishes but we will back for those and the rest of the drink menu.  We had a great time! Good food, very good cocktails, and very good ambience and service. We enjoyed it very much, perfect date night spot.  Excellent! Ambiance is great and the place has a wonderful vibe. The staff is top notch. Very attentive, knowledgeable and professional without being stuffy. The food was outstanding from cocktails, appetizers, main course to dessert and finishing with a delicious aperitif.  Very fine indeed!  Great food and experience with Jacob as our waiter. While seemingly simple the Cauliflower steak was amazingly flavorful. Very nice atmosphere.  Excellent meal! Attentive and timely service. Ambiance was wonderful. We had a very enjoyable time and will continue to be returning customers!  Loved this place! Such great ambiance!, good cocktails, good food. Hubby & I enjoyed celebrating our anniversary there  Such a fun experience. Loved the live jazz downstairs. We enjoyed the tasting menu, but a few of the dishes were lacking a bit in depth and creativity. The steak was fantastic, and was the star of the show. The summer salad was disappointing, as the lettuces were not as crisp and as fresh as they should be. Dessert was a 10/10! Service was attentive and friendly.  My favorite dining experience in Oakland ever. The drinks, the service, the food, the ambiance were all off the charts. I will be back often. ",https://resizer.otstatic.com/v2/photos/xlarge/1/29841840.webp
3,https://www.opentable.com/r/stk-san-francisco?corrid=740ec375-11e3-4690-9269-e0e3c5408c3c&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,STK - San Francisco,1178 Reviews,4,Steakhouse,$50 and over,4,4,4.2,3.5,"STK Steakhouse is “not your daddy’s steakhouse,” offering a high-energy dining experience that artfully combines the superior quality of a traditional steakhouse with a Vibe Dining atmosphere unlike any other. Delectable cuisine, upscale cocktails and an elevated Happy Hour, along with an in-house DJ and chic décor, all come together to offer a memorable fine dining experience that keeps guests enjoying their evening from drinks to dinner to late night. STK’s menu features reimagined classic American cuisine for lunch, brunch and dinner with unique local flair infused into each location’s menu. The brand’s beef program focuses on the highest quality, delicious and craveable steaks while emphasizing transparency and traceable sourcing practices.","Read more Overpriced. Pay close attention when paying check. Tip is pre added and I ended up tipping generously to a server who had horrible service.  The food was great. The meat selections were exquisite and the atmosphere was very fun. Not your typical steak house where it’s dark and very silent, this was the complete opposite.
Our server AJ was -amazing. He explained in detail the entire menu and recommended two of his favorite dishes and we ordered one (the sea bass) which was 10/10.
He also asked what we were celebrating and we mentioned my brothers birthday. He then surprised us with a whole entire tray of desserts, with my brothers name written on the wood board! We were NOT expecting this at all. I have never been to a restaurant where they give us 4 desserts at once “on the house”.
It was a pleasant surprise and it was very appreciated.
Thank you AJ for showing us what great service should be. Read more The food was delicious with quality you can taste! The service was also spot on. If there’s any complaints, then the parking situation has to be the worst. Because there is no valet or parking structures nearby, you have to search for parking on the street. Getting dropped off is definitely a better option. I also suggest a better menu presentation, get rid of the disposable paper menus. Thank you for the great dinner experience. Cheers! Read more Service was terrible honestly. Food was mediocre and over priced. I paid $20 for asparagus only to not eat them because they were severely overcooked and mushy. I ordered the surf and turf and could tell the lobster was just sitting however the steak was piping hot. All in all, spent $450+ when I definitely would’ve had a better experience at Chili’s. I would go back for drinks or after a bar but probably not to dine in again. Read more Nearby parking is challenging to find at beat.  Way too loud for a business dinner.  Asked to be in a quiet corner and was placed in the middle of the restaurant.   Service was good but food was subpar.  Sea bass entree was really an appetizer.  Steak entrees were way below advertised weight.   $700+ for 4 persons is ludicrous.  Amazing experience thanks to AJ.. highly recommend asking for him.. extremely knowledgeable of the menu as well as fast prompt service.. would not go without asking for him personally.. thanks again  We had a great experience at STK. Our server, AJ, was so helpful and was so attentive. Thank you AJ for such a great experience  Restaurant was nice inside. A little dirty though: for example, the booth we sat in had crumbs and a large piece of food on floor near our table. The food was good. We started with sliders and tuna tartare which were both spectacular. I also love their bread with the blue cheese butter drizzled on it. For our entrees we both got steaks, which were good but not great. The quality of the meat seemed less than compared to local steakhouses in the area such as Epic or Harris. Our server was kind and did a great job. Be forewarned, their bar closes earlier than the restaurant. You will want to be sure you order any drinks before hand. We couldn’t get drinks with our dessert because the bartenders were closed and ready to go home. This was shortly after 11:30pm on a Thurs. The restaurant closes at 11pm but we were not given a last call notice. The restaurant seems to cater more to tourists than locals. But we were glad that they are an option for a late night sit down dinner in the city. We may go back if we ever want to eat dinner after a show or something like that. Read more Cocktails were not great, service was good and food was ok, bit overpriced.  Service was a little off. Our waitress took my menu away from me before I even ordered. They didn’t have ice tea and they said they ran out (who runs out of ice tea at 11:45 am?).  I ordered the burger special but lettuce wrapped. When I got it, it didn’t have the sauce that the ones with buns had. I had to ask for it by flagging our waitress down as she didn’t come back to ask if we needed anything else.
 The burger was good though, as well as the fries. Read more",https://resizer.otstatic.com/v2/photos/xlarge/3/48569639.webp
4,https://www.opentable.com/r/waterbar-san-francisco?corrid=555a43dc-6a25-4f7d-aa53-1e8811b9974d&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Waterbar,10819 Reviews,4.6,Seafood,$31 to $50,4.5,4.6,4.7,4.1,"Waterbar is a seafood-centric restaurant located on the waterfront with spectacular panoramic views of the bay and city skyline, exceptional design, and a menu of the freshest sustainable fish and seafood. Featuring stunning outdoor (dog-friendly) dining on the waterfront patio, a relaxed atmosphere and floor-to-ceiling circular aquariums filled with an eye-catching array of fish and marine life from the Pacific Ocean. Waterbar is not to be missed.","Read more Had a lovely lunch at one of our favorite places.  
Jhonathan took good care of us.
Enjoyed the Heirloom Tomato Salad, the Shellfish Bisque & the we both had the Oven Roassted Whitefish.
This restaurant never fails to disappoint. Read more The best place for dinner or lunch, incredible view of the Golden Gate.
Excellent.!  Possibly the best dinner I’ve ever had. The baked oysters were to die for. Great service!  We celebrated our anniversary there and it was wonderful! The food and drinks were outstanding, the ambience was lovely, and our server, Robbie, was excellent! He started us out with a lovely complimentary glass of champagne! The service was pretty slow and my husband mentioned it and we were each brought a glass of wine on the house. We highly recommend The Water Bar and will visit again next time we are in San Francisco!!! Read more The food was delicious but make sure you're a harcore seafood lover bc the menu is 95% seafood. Gorgeous ambiance. Service was a tad slow but not bad. Overall I recommend checking this place out if you love seafood!  Service was good. Food was ok not worth the price. A few misleading items. Views were nice but overall not impressed  Excellent. Will always return. We were very well taken care of  Though our server was wonderful, our food orders were bland, unfortunately, nothing to rave about.  Very lovely lunch . Delicious food, attentive service and some extras because it was our anniversary.  Every meal has been wonderful quality and flavor. Lovely gracious staff people in all parts of the restaurant. Amazing views. Comfortable and special. ",https://resizer.otstatic.com/v2/photos/xlarge/3/66901662.webp
5,https://www.opentable.com/yoshis-oakland?corrid=555a43dc-6a25-4f7d-aa53-1e8811b9974d&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Yoshi's Oakland,8163 Reviews,4.7,Japanese,$30 and under,4.6,4.7,4.6,4.3,"Yoshi's has served Japan's best traditional dishes to Bay Area patrons since 1972. The menu highlights artfully arranged sushi, fresh grilled seafood, classic Japanese dishes, and vegetarian fare. Patrons can kick off their shoes in the traditional Japanese tatami seating or dine at tables. Expert sushi chefs create sushi and sashimi to order either in the restaurant or in the jazz house. Start the evening in the cocktail lounge before dinner or have a nightcap after taking in a show in the jazz house.","Read more I love coming to see artist at this small personal venue. Key tip- buy your tic soon as u see your fav artist on the calendar and make a resv to eat (1.5 hr before show ) to maximize your experience and get good  seating!!  The food was Delicious and Doug E Fresh was FABULOUS!!  The atmosphere was nice and energetic. We were greeted with a smile, and we're taken care of right away.  Our server
Seem to be more task driven than customer driven.  He would ask a question, but then would be walking away while we were giving the answer.  He came to our table 4 different times within a half-hour span, asking if we wanted another drink.

Our calamari came out cold, which we did not understand since it was our first item received.  The spinach salad was very good. The shrimp and scallop fritters, which used to be our favorite, have come out greasy and lacking flavor for our last 2 visits. All we can taste is onions.  No shrimp or scallop flavors or
Or seasoning.

Though the entertainment was exceptional, we probably will not be returning for the food. Read more Great food. Great Service. Dougie Fresh concert was great!  Dined there recently and had such a hood experience that I decided to return. This dinner with friends was excellent as well.  I’m have been to Yoshi’s over 200 times. I love the place yet tonight, I was so upset with the service. We had large gaps in time, the food came out of order, and our waitress who admitted she was new, disappears twice and the third time we stood up to go to our seats st the show.  Great food in Jack London Square! Even if you aren’t a fan of sushi Yoshi’s has some delectable seafood and chicken dishes! If you have never been, check it out. If you have been in the past, what are you waiting for? Book a table for dinner and book for a show! World renowned artists come through all the time.  Yoshi's has a nice selection of food and great ambiance. I ordered the Salmon and it was delicious. Served over a bed of, I think ginger lemongrass seasoned green beans 😋 with a glass of lemonade.  Hubby jokingly ordered a cheeseburger unaware that it's actually offered because he couldn't decide on anything else.  He really enjoyed it!  Everything was freshly prepared. We will back. Read more Service was outstanding. Fun atmosphere before concert. Lots of happy people.  Yoshi’s one of the best restaurants in Oakland food outstanding service five star.￼ ",https://resizer.otstatic.com/v2/photos/xlarge/1/26025369.webp
6,https://www.opentable.com/r/shirasoni-alameda?corrid=555a43dc-6a25-4f7d-aa53-1e8811b9974d&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Shirasoni,547 Reviews,4.2,Japanese,$31 to $50,4.4,4.2,4.2,4,"Shirasoni Japanese Restaurant invites you to visit us for “a Unique dining experience.”

Here at Shirasoni Japanese Restaurant, we pride ourselves on providing excellent service, using the freshest of ingredients, and our delightfully entertaining authentic Japanese Teppanyaki and Sushi dinner shows while providing a fun, friendly, and family experience. Online reservations are for Teppanyaki dining only."," The food is great and reasonably priced.  The chef and staff were wonderful.  However, I don't like the mandatory 20% gratuity.  Just increase the price of the meal and let me make my own decision on gratuity.  If the entree is $43.95 + 10% tax + 20% gratuity, my meal is now around $57.  If you tell me my meal is $52 and I pay $5.20 on tax, that feels less deceptive, and the staff may even get an additional tip. Read more Food was great as usual.
Just a lil upset I didn’t get a bday treat :(  Always such a wonderful experience. Staff is so great and attentive. This is what keeps us coming back.  Fun place for a special occasion. Dinner AND a show makes the high cost ALMOST bearable! We had a good time, good meal, & they DID make a birthday celebration memorable. 👌👍  Very disappointing experience ..server was very dry and uninviting. Food although was a nice amount was very bland except for the rice, which was pretty tasty. Calamari tasted as if it were cooked in old Grease with brown burnt seasonings on the outside. The soup Had a weird flavor could not eat it at all. ￼ Not sure if this is the standard of service since they get their 20% off the top. ￼ Will not be returning, good luck to others. Read more Great food and drinks. The chef had funny jokes and made the experience fun.  When we first walked in we were greeted very nicely. But we didn’t  know we would have to be sharing a table with people if we didn’t have at least 8 people so it was kind of weird. The food needs more flavour since it didn’t taste like anything much. The sushi was very good though. The Tapanyaki show needs to be more lively. The scallops we were given were uncooked it was still smooshy on the inside. Also the server gave us the wrong check and gave the check that was supposed to be given to  the two other people who were seated next to us. Read more We all had a great time. My son tends to be a little expensive and ordered lobster and steak. I really appreciated that the waiter came back and checked in with us to make sure that was okay. The only downside is we felt a little rushed. Before I could even try the soup they were taken away and about 5 min after I was served my chicken they were coming around with a cake and boxes. Read more The experience was one of the best that I’ve had in a very long time. I traveled from the Sacramento area to visit this particular location because my family lives in Alameda and I was completely impressed with the service that we received on my son‘s birthday. I would not hesitate to travel from Sacramento to visit this particular restaurant again thank you so much for your hospitality. Read more We didn’t get soup and salad as well any refills I ordered a bar drink and after 20 minutes in my waitress told me bar was closed ",https://resizer.otstatic.com/v2/photos/xlarge/2/53367768.webp
7,https://www.opentable.com/r/trabocco-alameda?corrid=555a43dc-6a25-4f7d-aa53-1e8811b9974d&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Trabocco,3462 Reviews,4.8,Contemporary Italian,$31 to $50,4.8,4.8,4.7,4.6,"Chef-owner, Giuseppe Naccarelli presents a seasonally inspired menu of classic Italian dishes with a modern twist, influenced by the cuisine of his native region of Abruzzo.
A Trabocco is a unique fishing pier found along the Adriatic coast of Abruzzo. Architect and Designer Lev Weisbach of Weisbach Architecture|Design was inspired by the beautiful Trabocchi of Abruzzo when he created his spectacular design. With its reclaimed wood ceilings, dramatic copper encased fireplace, and modern bar Trabocco is warm and welcoming yet strikingly dramatic and modern.","Read more Trabocco is our favorite restaurant! We are never disappointed! Always amazing! Food and service is the best!  Lamb shank special with polenta was fall off the bone !  amazing flavors .  Service always  good.  Sat in patio to open air and they have heaters if we needed them.  Amazing food and service was outstanding excellent drinks too  Staff is always attentive and kind. Food is always yummy. Thank you  Love this restaurant!  My dad comes here all the time and it never disappoints.  Service is top notch, the food is delicious and the whole staff makes you feel welcome.  The best of North Beach found in an Alameda mall of all places!  Extensive, imaginative and flavorful menu served up by personable, professional staff. The pastas compare favorably to the best of San Francisco’s top spots. They happily accommodated our birthday meal decor and celebratory spirit. Restaurant has several rooms to suit multiple needs and tastes, plus an active and craft-worthy bar.   We will return again and again! Read more Very nice dinner experience. Food was very well prepared and they had a nice list of specials in addition to the standard menu. Service was great  Wonderful restaurant, fantastic food, great staff and an amazing chef!!  I was pleasantly surprised because I didn't know what to expect. I was looking for a nice place for a birthday brunch for me and my daughter in Alameda or East Bay. This one filled all my requirements especially compared to all the places in Berkeley and Oakland which I'm glad I didn't choose.  The restaurant has professional and friendly staff from the Hostess to the waiters to the chefs and the food was excellent.  It was reasonably priced compared to similar restaurants in more frufru locations. Read more Never ceases to impress even after being around for quite some time. ",https://resizer.otstatic.com/v2/photos/xlarge/1/54844970.webp
8,https://www.opentable.com/r/mago-oakland?corrid=555a43dc-6a25-4f7d-aa53-1e8811b9974d&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Mago,42 Reviews,4.8,Contemporary Latin,$50 and over,4.9,4.8,4.7,4.5,"Mägo is a family owned and operated fine dining restaurant from Chef Mark Liberman. We offer an exciting tasting menu cooked over wood fire, offering our take on Contemporary Colombian fare, anchored in an understanding of using Northern California ingredients, simple flavors in bold combinations.

Our tasting menu focuses on ingredients that are at their most peak in deliciousness .This usually means produce that is in season, which in turn means they are their most flavorful, which is one of the reasons why we change our menu daily. In order to ensure the proper planning of your evening, please allow for 2.5 hours.

We also offer an a la carte dining experience at our bar that is available for walk in guests.

The restaurant’s informal atmosphere features an open kitchen surrounded by intimate tables, outdoor heated garden patio and chefs counter seating. From the warm greeting you receive upon entering until your final goodbye, we invite you to feel at home.","Read more Wonderful experience. Had the pairing and enjoyed it too. Had a great time.  Of course we all (4) had the tasting menu and all enjoyed it very much.  However, all believed that the beef course could use some work.  It was (way) to bland, blah, uninteresting.  As innovative that everything else was, I'm sure they can come up with something better than that.  Delicious food! Great service! The extra touches made for a special birthday!  Great and creative food.  Loved the portion size and the exotic flavors.  Service was distant and cold, but they did do their job.  Would’ve liked a warmer and friendlier staff.  Amazing experience as always. We had the tasting menu with pairings and the supplement. We love that the menu changes frequently and always has unique combinations and flavors. Marc,Rachel, Emily, Stephen, and crew never disappoint with their food, drinks, and atmosphere. Go there now!  Experience was fun. We sat at the counter and had the prix fix menu. Food was creative, attractive and tasty. The meal took over 2 1/2 hours though from the time we sat and ordered to paying the bill. I enjoyed the dinner but that was just too long.  The folks that own this restaurant work their tails off to give a high quality dining experience at a very reasonable price point. Having been turned off a long time ago by $250 plus pretentious tasting menus, I decided to give this one a chance and I'm glad I did. They deserve all the support they can get from the Oakland and general Bay area community. This place is worth keeping around for a long time. Read more Quality of the ingredients and expert preparation are the determining factors for the quality of the food served.  Mago excels on this.

Service provided was polished and professional.  And the wait staff was friendly and accommodating.

Value was great because we came on a weekday and the tasting menu was $82 instead of $110.  Even at $110, I feel the price is quite fair for what you get.

What more can one ask for. Read more A sensationally good meal, with food easily Michelin-star-worthy. Wonderfully imaginative combinations of ingredients, varied flavors intense or subtle as dishes demanded, all perfectly executed. Surprisingly healthful and relatively light food, as well. Knowledgeable and pleasant service. The beverage pairings were brilliantly chosen, excellent and interesting examples of each type that complemented and enhanced the dishes they accompanied. Our dinner was one we'll remember for a long time, so impressed were we (and we've eaten at a great many Michelin-starred restaurants in the U.S. and Europe). Worth every penny we paid and more. We'll be back! Read more A lovely evening in celebration…and a lovely experience dining! A definite “must return” ",https://resizer.otstatic.com/v2/photos/xlarge/4/61254346.webp
9,https://www.opentable.com/prospect?corrid=555a43dc-6a25-4f7d-aa53-1e8811b9974d&avt=eyJ2IjoyLCJtIjoxLCJwIjoxLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Prospect,2693 Reviews,4.7,Contemporary American,$31 to $50,4.7,4.7,4.7,4.3,"Prospect is from the team behind San Francisco's acclaimed Boulevard. Partners Nancy Oakes (James Beard award-winning chef/owner of Boulevard), Pam Mazzola and Kathy King, have created a convivial venue that pays tribute to contemporary American cuisine. Whether it's a cocktail and a bite at the bar, a casual meal at the communal table, guests will receive exceptional hospitable service. A warm modern space in the heart of SOMA, Prospect has become an anchor for the community.
A separate dining room is available for private events.","Read more Could not have been more impressed . The food was creative , tasted perfect and the service exceptional!  Food was really amazing.  They do a great job of pairing different combinations that make you mouth feel like it’s a party going on.  Things you would never think goes together very creative combinations of cookery.  Service was too slow. Waited for hours for the food to come out and no notifications from the staff. Kind of an expensive place for that level of service  It was as delicious as always. Just our favorite local restaurant.  I have been going to Prospect since it opened nearly 13 years ago. The restaurant is beautiful and warm! The high ceilings are spectacular! I had the lobster bucatini and absolutely delicious! There were big portions of fresh lobster with delicious mushrooms! My girlfriend had the fried chicken. We finished dinner off with the Tres leches! They gave us their famous popcorn as a little gift! Kathy and the team are exceptional! Read more Prospect used to be a go to for business lunches and dinners before they shut down during COVID. This was the first time my husband and I came back. The service and ambience is truly outstanding for a more quiet and intimate dining experience. The menu is diverse with quality ingredients and creativity.  We ordered the ACME bread that came out warm, beef kofta that was perfectly flavored and prepared, pork as an entree also perfectly prepared however the Halibut fish was overcooked and dry.  As our offices are close by we will definitely be back. Read more Great Fried Chicken Friday. Great ahi Crudo and Lobster Bucatini. Server was super friendly though forgot a couple of our items we ordered. Still love this local East Cut Spot. Great cocktails and wines. Will come again for sure.  Prospect provides consistently good service, and food in a comfortable environment.  I asked for what was left of my dish to take away, and they gave me another dish from another customer, not mine.  Prospect never disappoints...Creative and incredible food...impeccable service  and so well managed..truly a bright star on the San Francisco food scene... ",https://resizer.otstatic.com/v2/photos/xlarge/3/26557535.webp
10,https://www.opentable.com/r/bardo-lounge-and-supper-club-oakland?corrid=555a43dc-6a25-4f7d-aa53-1e8811b9974d&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Bardo Lounge & Supper Club,464 Reviews,4.9,Contemporary American,$31 to $50,4.7,4.8,4.8,4.4,"Recommended in the MICHELIN Guide for California 2021-2023. Located in Oakland’s historic Grand Lake District, Bardo is a neighborhood lounge and restaurant inspired by the comfort and camaraderie of a mid-century dinner party. Drawing on the celebration and elegance of old school entertaining, we envisioned a space for friends and neighbors to enjoy amazing food, cocktails, conversation and great music.

Our lounge is a swank living room, furnished with hand-picked finds from antique and vintage markets from Palm Springs to Portland. Our mezzanine dining room features a rotating menu of fresh, seasonal supper-fare with local and sustainably sourced meats, fish and produce. While we think the food, drinks and atmosphere are all great reasons to visit us, it’s the relationships with our friends, neighbors and guests that is the driving force behind Bardo.","Read more Caeser salad was unique and delicious. Tuna presentation needs work. Service great.  We were disappointed first because of the noise level.  We could not carry a conversation without shouting although we asked to be moved upstairs.  When we left and walked through downstairs, the room was packed and noisy, and 2 people were eating their meal on TV trays! 
My husband sent his Cosmopolitan cocktail back for it was so bitter, it was undrinkable.  The starters are good and affordable. We liked the deviled eggs and the chicken mousse, but not the burnt toasts which came with it.  The entrée menu is very short and the only red meat was a rib eye at $60.00!  Both of our entrees (rib eye and seared tuna) had very spicy accompaniments which we did not expect and were not mentioned on the menu.  We skipped desserts.  The service was not great.  First our server had to kneel down near us in order to hear us and us, him.  He was far too busy and that affected the quality of service.  He handled the whole upstairs room alone. I think he did his best under the circumstances.  We definitely will not come back.  However if you can handle that level of noise (some call it a good ""ambiance""), and spend less by choosing a couple of starters instead of an entree, it might work!? Read more A beautiful restaurant with a very attentive staff. We tried the tasting menu I and were very happy with the sale toons from the chef. We did miss a few of their signature dishes but we will back for those and the rest of the drink menu.  Excellent! Ambiance is great and the place has a wonderful vibe. The staff is top notch. Very attentive, knowledgeable and professional without being stuffy. The food was outstanding from cocktails, appetizers, main course to dessert and finishing with a delicious aperitif.  Very fine indeed!  We had a great time! Good food, very good cocktails, and very good ambience and service. We enjoyed it very much, perfect date night spot.  Great food and experience with Jacob as our waiter. While seemingly simple the Cauliflower steak was amazingly flavorful. Very nice atmosphere.  Excellent meal! Attentive and timely service. Ambiance was wonderful. We had a very enjoyable time and will continue to be returning customers!  Loved this place! Such great ambiance!, good cocktails, good food. Hubby & I enjoyed celebrating our anniversary there  Such a fun experience. Loved the live jazz downstairs. We enjoyed the tasting menu, but a few of the dishes were lacking a bit in depth and creativity. The steak was fantastic, and was the star of the show. The summer salad was disappointing, as the lettuces were not as crisp and as fresh as they should be. Dessert was a 10/10! Service was attentive and friendly.  My favorite dining experience in Oakland ever. The drinks, the service, the food, the ambiance were all off the charts. I will be back often. ",https://resizer.otstatic.com/v2/photos/xlarge/1/29841840.webp
